CUSTOM_NODE,YEAR,VALUE
LAOSO,2017,5.29
LAOSO,2018,6
LAOSO,2019,7.44
LAOSO,2020,9.24
LAOSO,2021,7.23
LAOSO,2022,8.82
LAOSO,2023,9.07
LAOSO,2024,10.14
LAOSO,2025,11.2
LAOSO,2026,12.51
LAOSO,2027,13.97
LAOSO,2028,15.26
LAOSO,2029,17.15
LAOSO,2030,19.51
LAOSO,2031,22.17
LAOSO,2032,24.75
LAOSO,2033,28.29
LAOSO,2034,32.02
LAOSO,2035,36.49
LAOSO,2036,41.58
LAOSO,2037,47.48
LAOSO,2038,54.28
LAOSO,2039,62.13
LAOSO,2040,71.2
LAOSO,2041,81.68
LAOSO,2042,93.8
LAOSO,2043,107.86
LAOSO,2044,124.11
LAOSO,2045,142.98
LAOSO,2046,164.87
LAOSO,2047,190.29
LAOSO,2048,219.85
LAOSO,2049,254.25
LAOSO,2050,294.33
BRNXX,2015,15.15
BRNXX,2016,15.51
BRNXX,2017,15.83
BRNXX,2018,16.08
BRNXX,2019,16.49
BRNXX,2020,16.18
BRNXX,2021,16.76
BRNXX,2022,17.14
BRNXX,2023,17.29
BRNXX,2024,17.49
BRNXX,2025,17.77
BRNXX,2026,18.06
BRNXX,2027,18.34
BRNXX,2028,18.62
